DATE,TIME,AM/PM,DATA
7/1/2019,12:00:00,AM,42.32
7/1/2019,12:15:00,AM,34.83
7/1/2019,12:30:00,AM,41.21
7/1/2019,12:45:00,AM,46.96
7/1/2019,1:00:00,AM,68.41
7/1/2019,1:15:00,AM,1.19
7/1/2019,1:30:00,AM,1.71
7/1/2019,1:45:00,AM,4.01
7/1/2019,2:00:00,AM,0.41
7/1/2019,2:15:00,AM,1.72
7/1/2019,2:30:00,AM,3.1
7/1/2019,2:45:00,AM,3.12
7/1/2019,3:00:00,AM,1.68
7/1/2019,3:15:00,AM,1
7/1/2019,3:30:00,AM,0.82
7/1/2019,3:45:00,AM,0.8
7/1/2019,4:00:00,AM,0.8
7/1/2019,4:15:00,AM,0.75
7/1/2019,4:30:00,AM,0.75
7/1/2019,4:45:00,AM,0.78
7/1/2019,5:00:00,AM,0.77
7/1/2019,5:15:00,AM,0.76
7/1/2019,5:30:00,AM,11.32
7/1/2019,5:45:00,AM,3.74
7/1/2019,6:00:00,AM,4.75
7/1/2019,6:15:00,AM,0.74
7/1/2019,6:30:00,AM,0.4
7/1/2019,6:45:00,AM,0.78
7/1/2019,7:00:00,AM,45.25
7/1/2019,7:15:00,AM,211.39
7/1/2019,7:30:00,AM,33.34
7/1/2019,7:45:00,AM,31.1
7/1/2019,8:00:00,AM,34.2
7/1/2019,8:15:00,AM,35.79
7/1/2019,8:30:00,AM,29.81
7/1/2019,8:45:00,AM,33.05
7/1/2019,9:00:00,AM,33.04
7/1/2019,9:15:00,AM,35.93
7/1/2019,9:30:00,AM,36.64
7/1/2019,9:45:00,AM,34.39
7/1/2019,10:00:00,AM,34.35
7/1/2019,10:15:00,AM,34.71
7/1/2019,10:30:00,AM,33.85
7/1/2019,10:45:00,AM,33.6
7/1/2019,11:00:00,AM,33.16
7/1/2019,11:15:00,AM,32.84
7/1/2019,11:30:00,AM,33.41
7/1/2019,11:45:00,AM,33.9
7/1/2019,12:00:00,PM,33.11
7/1/2019,12:15:00,PM,33.51
7/1/2019,12:30:00,PM,33.4
7/1/2019,12:45:00,PM,33.68
7/1/2019,1:00:00,PM,37.2
7/1/2019,1:15:00,PM,36.4
7/1/2019,1:30:00,PM,36.46
7/1/2019,1:45:00,PM,32.78
7/1/2019,2:00:00,PM,33.95
7/1/2019,2:15:00,PM,32.7
7/1/2019,2:30:00,PM,35.92
7/1/2019,2:45:00,PM,23.09
7/1/2019,3:00:00,PM,36.42
7/1/2019,3:15:00,PM,32.57
7/1/2019,3:30:00,PM,36.04
7/1/2019,3:45:00,PM,39.42
7/1/2019,4:00:00,PM,34.61
7/1/2019,4:15:00,PM,41.14
7/1/2019,4:30:00,PM,36.73
7/1/2019,4:45:00,PM,38.63
7/1/2019,5:00:00,PM,36.49
7/1/2019,5:15:00,PM,35.32
7/1/2019,5:30:00,PM,35.76
7/1/2019,5:45:00,PM,36.51
7/1/2019,6:00:00,PM,32.84
7/1/2019,6:15:00,PM,33.62
7/1/2019,6:30:00,PM,33.32
7/1/2019,6:45:00,PM,33.58
7/1/2019,7:00:00,PM,36.14
7/1/2019,7:15:00,PM,33.88
7/1/2019,7:30:00,PM,35.32
7/1/2019,7:45:00,PM,41.23
7/1/2019,8:00:00,PM,33.35
7/1/2019,8:15:00,PM,33.4
7/1/2019,8:30:00,PM,36.95
7/1/2019,8:45:00,PM,34.9
7/1/2019,9:00:00,PM,35.87
7/1/2019,9:15:00,PM,31.78
7/1/2019,9:30:00,PM,32.62
7/1/2019,9:45:00,PM,31.5
7/1/2019,10:00:00,PM,36.7
7/1/2019,10:15:00,PM,23.83
7/1/2019,10:30:00,PM,33.83
7/1/2019,10:45:00,PM,31.85
7/1/2019,11:00:00,PM,65.86
7/1/2019,11:15:00,PM,24.98
7/1/2019,11:30:00,PM,17.35
7/1/2019,11:45:00,PM,17.15
7/2/2019,12:00:00,AM,18.04
7/2/2019,12:15:00,AM,18.43
7/2/2019,12:30:00,AM,15.66
7/2/2019,12:45:00,AM,16.85
7/2/2019,1:00:00,AM,21.4
7/2/2019,1:15:00,AM,18.09
7/2/2019,1:30:00,AM,18.86
7/2/2019,1:45:00,AM,15.55
7/2/2019,2:00:00,AM,15.23
7/2/2019,2:15:00,AM,14.99
7/2/2019,2:30:00,AM,14.84
7/2/2019,2:45:00,AM,15.38
7/2/2019,3:00:00,AM,14.72
7/2/2019,3:15:00,AM,15.69
7/2/2019,3:30:00,AM,15.19
7/2/2019,3:45:00,AM,15.36
7/2/2019,4:00:00,AM,17.62
7/2/2019,4:15:00,AM,16.16
7/2/2019,4:30:00,AM,17
7/2/2019,4:45:00,AM,14.12
7/2/2019,5:00:00,AM,13.81
7/2/2019,5:15:00,AM,13.47
7/2/2019,5:30:00,AM,52.04
